"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL1933885";"";"None";"317.37";"0";"4.95";"12e";"N#C/C(=C\c1ccc(-c2cccs2)o1)c1nc2ccccc2[nH]1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1936265";"Inhibition of Bacillus anthracis lethal factor using MCA-KKVYPYPME[dnp]Kamide peptide substrate after 30 mins by FRET assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1933027";"1";"Scientific Literature";"Bioorg Med Chem";"2011";"None";""
"CHEMBL200013";"";"None";"396.90";"0";"3.75";"14";"O=C(O)CN1C(=O)/C(=C/c2ncc(-c3ccc(Cl)cc3)s2)SC1=S";"IC50";"'='";"10000.0";"nM";"5.00";"";"";"UO_0000065";"12.60";"0.28";"1.25";"7.09";"0";"CHEMBL864614";"Inhibitory activity against anthrax lethal factor metalloprotease";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1148588";"1";"Scientific Literature";"J Med Chem";"2006";"None";""
"CHEMBL381215";"";"None";"390.40";"0";"3.14";"5";"O=C(O)CN1C(=O)/C(=C/c2ccc(-c3ccccc3[N+](=O)[O-])o2)SC1=S";"IC50";"'='";"3100.0";"nM";"5.51";"";"";"UO_0000065";"14.11";"0.29";"2.37";"4.84";"0";"CHEMBL864614";"Inhibitory activity against anthrax lethal factor metalloprotease";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1148588";"1";"Scientific Literature";"J Med Chem";"2006";"None";""
"CHEMBL199941";"";"None";"400.76";"0";"3.53";"21";"O=C1NC(=S)NC(=O)C1=Cc1ccc(-c2cc(C(F)(F)F)ccc2Cl)o1";"IC50";"'='";"1300.0";"nM";"5.89";"";"";"UO_0000065";"14.69";"0.31";"2.36";"8.25";"0";"CHEMBL864614";"Inhibitory activity against anthrax lethal factor metalloprotease";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1148588";"1";"Scientific Literature";"J Med Chem";"2006";"None";""
"CHEMBL514138";"CGS-27023A";"None";"429.93";"0";"1.81";"1";"COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(=O)NO)C(C)C)cc1.Cl";"IC50";"";"";"";"";"";"Active";"";"";"";"";"";"0";"CHEMBL861857";"Inhibition of LF";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1138106";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";""
"CHEMBL4104995";"";"None";"2154.67";"None";"None";"2; RTD-1 L6W";"CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CSSC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]3CSSC[C@H](NC1=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N3)C(=O)N[C@@H](Cc1c[nH]c3ccccc13)C(=O)N[C@H]1CSSC[C@H](NC(=O)[C@H](C(C)C)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC1=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N2";"IC50";"'='";"221.0";"nM";"6.66";"";"";"UO_0000065";"3.09";"None";"None";"None";"0";"CHEMBL4008429";"Inhibition of Bacillus anthracis lethal factor protease preincubated for 30 mins prior to addition of substrate containing fluorescent proteins CyPet and YPet measured every 2 mins for 3 hrs by FRET assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL4007405";"1";"Scientific Literature";"J Med Chem";"2017";"None";""
"CHEMBL3099025";"";"None";"362.43";"0";"3.21";"18f";"Cc1cc(N)c2cc(NC(=O)c3ccc(N4CCOCC4)cc3)ccc2n1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3100684";"Inhibition of Bacillus anthracis lethal factor assessed as MCA-KKVYPYPME[dnp]K amide cleavage after 30 mins by fluorescence plate reader analysis";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL3098056";"1";"Scientific Literature";"Bioorg Med Chem";"2014";"None";""
"CHEMBL200421";"";"None";"361.47";"0";"3.70";"9";"O=C(O)CN1C(=O)/C(=C/c2ccc(-c3ccccc3)s2)SC1=S";"IC50";"'='";"741.31";"nM";"6.13";"";"";"UO_0000065";"16.96";"0.36";"2.43";"10.64";"0";"CHEMBL864614";"Inhibitory activity against anthrax lethal factor metalloprotease";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1148588";"1";"Scientific Literature";"J Med Chem";"2006";"None";""
"CHEMBL371478";"";"None";"447.84";"0";"4.90";"8";"O=C(O)CN1C(=O)/C(=C/c2ccc(-c3cc(C(F)(F)F)ccc3Cl)o2)SC1=S";"IC50";"'='";"190.0";"nM";"6.72";"";"";"UO_0000065";"15.01";"0.33";"1.82";"9.50";"0";"CHEMBL864614";"Inhibitory activity against anthrax lethal factor metalloprotease";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1148588";"1";"Scientific Literature";"J Med Chem";"2006";"None";""
"CHEMBL372792";"";"None";"409.87";"0";"3.89";"6";"COc1ccc(-c2ccc(/C=C3\SC(=S)N(CC(=O)O)C3=O)o2)cc1Cl";"IC50";"'='";"295.12";"nM";"6.53";"";"";"UO_0000065";"15.93";"0.34";"2.64";"8.16";"0";"CHEMBL864614";"Inhibitory activity against anthrax lethal factor metalloprotease";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1148588";"1";"Scientific Literature";"J Med Chem";"2006";"None";""
